Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Pikeman	Pikemen	0	0	0	0	0	0	12	100	80	70	0	10	4	4	5	1	3	0	0	20	50		0
Halberdier	Halberdiers	0	0	0	0	0	0	14	115	115	70	0	10	5	6	5	2	3	0	0	20	30		0
Archer	Archers	0	0	0	0	0	0	33	115	126	27	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY
Marksman	Marksmen	0	0	0	0	0	0	50	115	184	27	0	10	6	6	3	2	3	24	0	16	25	Shoots twice.	const_two_attacks | SHOOTING_ARMY
Griffin	Griffins	0	0	0	0	0	0	100	324	351	14	3	30	6	9	8	3	6	0	0	12	25	Retaliates twice.	DOUBLE_WIDE | FLYING_ARMY
Royal Griffin	Royal Griffins	0	0	0	0	0	0	120	364	448	14	3	30	9	10	9	3	6	0	0	12	20	Unlimited retaliations.	DOUBLE_WIDE|FLYING_ARMY
Swordsman	Swordsmen	0	0	0	0	0	0	300	445	445	4	0	35	5	12	14	6	9	0	0	10	20		0
Crusader	Crusaders	0	0	0	0	0	0	400	588	588	4	0	35	6	14	14	7	10	0	0	10	16	Strikes twice.	const_two_attacks
Monk	Monks	0	0	0	0	0	0	600	485	485	3	0	40	5	15	9	10	12	12	0	8	16		SHOOTING_ARMY
Zealot	Zealots	0	0	0	0	0	0	675	500	750	3	0	40	7	15	11	10	12	24	0	8	12	No melee penalty.	SHOOTING_ARMY | const_no_melee_penalty
Cavalier	Cavaliers	0	0	0	0	0	0	2000	1668	1946	2	0	130	8	18	18	15	25	0	0	5	12	Jousting bonus.	DOUBLE_WIDE | const_jousting
Champion	Champions	0	0	0	0	0	0	2400	1800	2100	2	0	160	10	18	19	20	25	0	0	5	10	Jousting bonus.	DOUBLE_WIDE | const_jousting
Angel	Angels	0	0	0	0	0	1	12000	3585	5019	1	0	400	12	23	23	50	50	0	0	4	10	Hates Devils.	FLYING_ARMY | const_raises_morale | KING_2
